Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,CAPC3216X180N,-93.870000,-78.300000,0.000000,bottom
C2,10uF,CAPC3216X180N,-107.020000,-40.700000,180.000000,bottom
C3,22uF,CAPC3216X180N,-93.260000,-60.050000,-90.000000,bottom
C4,10uF,CAPC3216X180N,-99.084400,-40.040400,180.000000,bottom
C5,0.47uF,CAPC1005X55N,-96.250000,-65.250000,180.000000,bottom
C6,1.0uF,CAPC1608X90N,-141.859000,-92.456000,90.000000,bottom
C7,10uF,CAPC3216X180N,-100.260000,-63.611600,180.000000,bottom
C8,22uF,CAPC3216X180N,-100.260000,-59.496800,180.000000,bottom
C9,1.0uF,RESC1608X55N,-121.253000,-82.331400,180.000000,bottom
C10,0.1uF,CAPC1005X55N,-138.557000,-93.218000,180.000000,bottom
C11,1.0uF,CAPC1608X90N,-106.178000,-96.606200,0.000000,bottom
C12,0.1uF,CAPC1005X55N,-116.410000,-101.810000,-90.000000,bottom
C13,0.1uF,CAPC1005X55N,-106.407800,-94.726600,0.000000,bottom
D1,GREEN,LEDC1608X50N,-117.908000,-62.798800,0.000000,bottom
D2,RED,LED0805-RD_RED,-112.705200,-62.773400,180.000000,bottom
D3,B5819W SL,SOD-123_L2.7-W1.6-LS3.7-RD-1,-97.500000,-35.500000,0.000000,bottom
D4,ZMMxx,LL-34_L3.5-W1.5-RD,-105.310000,-92.100000,180.000000,bottom
D5,ZMMxx,LL-34_L3.5-W1.5-RD,-109.060000,-102.800000,180.000000,bottom
D6,ZMMxx,LL-34_L3.5-W1.5-RD,-107.610000,-106.350000,0.000000,bottom
D7,GREEN,LEDC1608X50N,-101.010000,-98.800000,0.000000,bottom
D8,GREEN,LEDC1608X50N,-120.660000,-95.350000,90.000000,bottom
IC1,MCP6002T-I_SN,SOIC127P600X175-8N,-97.790000,-45.974000,180.000000,bottom
IC2,ap2007,SOIC127P600X175-9N,-94.510000,-71.800000,90.000000,bottom
IC3,TP4056-42-ESOP8,SOIC127P600X175-9N,-110.910000,-45.400000,0.000000,bottom
IC4,LM3940IMP-3.3_NOPB,SOT230P700X180-4N,-97.592400,-53.629400,0.000000,bottom
IC5,CP2102-GMR,QFN50P500X500X100-29N-D,-123.018200,-102.118000,0.000000,bottom
L1,MWSA0402S-3R3MT,INDPM4442X200N,-94.560000,-83.050000,0.000000,bottom
Q1,LBSS84LT1G,SOT96P237X111-3N,-93.726000,-38.608000,180.000000,bottom
R1,1K2,RESC1608X55N,-121.539400,-62.798800,180.000000,bottom
R2,1K2,RESC1608X55N,-107.760000,-62.824200,0.000000,bottom
R3,1R,R1206,-100.860000,-67.821000,-90.000000,bottom
R4,1R,R1206,-100.860000,-73.379000,-90.000000,bottom
R5,100K,RESC3116X65N,-95.810000,-60.000000,-90.000000,bottom
R6,33K,R0603,-92.760000,-65.050000,-90.000000,bottom
R7,1K2,RESC1608X55N,-104.660000,-45.300000,90.000000,bottom
R11,1K2,RESC1608X55N,-106.260000,-99.050000,180.000000,bottom
R12,4k7,RESC1608X55N,-122.160000,-91.800000,180.000000,bottom
R13,1K2,RESC1608X55N,-123.260000,-95.500000,90.000000,bottom
R14,10k,R0603,-134.366000,-103.886000,0.000000,bottom
R15,10k,R0603,-134.366000,-106.299000,0.000000,bottom
U1,LM61BIZ/NOPB_TempSensor(TO-92),TO-92-3_L4.9-W3.7-P1.27-L,-121.666000,-85.852000,0.000000,bottom
U2, LPS22HBTR_Barometer,QFN50P210X200X80-10N,-108.966000,-82.550000,-90.000000,bottom
U3,CAT24C256,SOIC127P600X175-8N,-141.732000,-97.536000,180.000000,bottom
U4,MICROXNJ,MICRO-USB-SMD_MICROXNJ,-95.816000,-99.908200,90.000000,bottom
